Mağaza,Ürün Grubu,Gerçek Satış Ortalaması,Tahmin Ortalaması,Ortalama Hata (%),Yorum
34,"LIQUOR,WINE,BEER",53.06884480746791,50.30640707943122,inf,Tahmin fazla (overpredict)
34,MEATS,184.02572109276545,183.1699768987621,inf,Tahmin fazla (overpredict)
34,PERSONAL CARE,317.84247374562426,317.9014786914742,inf,Tahmin fazla (overpredict)
34,PREPARED FOODS,34.98017619369895,33.7142298719261,inf,Tahmin fazla (overpredict)
35,BREAD/BAKERY,93.25495915985998,94.46272492072517,inf,Tahmin fazla (overpredict)
35,DAIRY,158.66627771295217,159.62500588236213,inf,Tahmin fazla (overpredict)
35,DELI,82.12952158693116,82.8928108118832,inf,Tahmin fazla (overpredict)
35,EGGS,167.11610268378064,166.168343854239,inf,Tahmin fazla (overpredict)
35,MEATS,161.19261658984829,161.3954052590189,inf,Tahmin fazla (overpredict)
35,PERSONAL CARE,87.38739789964994,89.11034527078854,inf,Tahmin fazla (overpredict)
35,POULTRY,56.34391058203034,55.54100741838827,inf,Tahmin fazla (overpredict)
37,BREAD/BAKERY,547.7691101983664,540.2999459468655,inf,Tahmin fazla (overpredict)
37,CLEANING,1054.0215869311553,1041.709991118896,inf,Tahmin fazla (overpredict)
37,DAIRY,885.5670945157526,868.3788501645128,inf,Tahmin fazla (overpredict)
37,DELI,146.01406504084014,146.45044266366045,inf,Tahmin fazla (overpredict)
37,EGGS,155.13302217036173,155.42077117020474,inf,Tahmin fazla (overpredict)
37,GROCERY II,46.65985997666278,44.71560985787174,inf,Tahmin fazla (overpredict)
37,MEATS,249.1476534422404,248.57764344848863,inf,Tahmin fazla (overpredict)
37,POULTRY,244.55027248249704,243.07216120065144,inf,Tahmin fazla (overpredict)
38,DELI,169.15451645390897,169.8588858426461,inf,Tahmin fazla (overpredict)
38,GROCERY II,26.51166861143524,25.01733407403677,inf,Tahmin fazla (overpredict)
38,"LIQUOR,WINE,BEER",79.04025670945157,74.2072113802055,inf,Tahmin fazla (overpredict)
38,MEATS,184.9624913080513,185.51731538745943,inf,Tahmin fazla (overpredict)
38,POULTRY,157.33998488273045,158.78928293837276,inf,Tahmin fazla (overpredict)
38,PREPARED FOODS,121.80319835997666,119.2432617105619,inf,Tahmin fazla (overpredict)
